Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
Q1,AON6354,8-DFN (5x6),-40.005,14.635,90.0,bottom
Q2,AON6354,8-DFN (5x6),-8.505,14.706453,90.0,bottom
Q3,AON6354,8-DFN (5x6),22.995,14.808783,90.0,bottom
Q4,AON6354,8-DFN (5x6),54.495,14.818092,90.0,bottom
R1,3K3,R_0603_1608Metric,-45.75,13.5,270.0,bottom
R10,3K3,R_0603_1608Metric,-24.749999,13.571454,270.0,bottom
R11,10K,R_0603_1608Metric,-20.249999,13.571454,270.0,bottom
R12,1K,R_0603_1608Metric,-21.749999,13.571454,270.0,bottom
R13,1K,R_0603_1608Metric,-17.249999,13.571454,270.0,bottom
R14,1K,R_0603_1608Metric,-23.249999,13.571454,270.0,bottom
R15,1K,R_0603_1608Metric,-15.749999,13.571454,270.0,bottom
R16,1K,R_0603_1608Metric,-18.749999,13.571454,270.0,bottom
R17,3K3,R_0603_1608Metric,17.25,13.673784,270.0,bottom
R18,3K3,R_0603_1608Metric,6.750001,13.673784,270.0,bottom
R19,10K,R_0603_1608Metric,11.250001,13.673784,270.0,bottom
R2,3K3,R_0603_1608Metric,-56.25,13.5,270.0,bottom
R20,1K,R_0603_1608Metric,9.750001,13.673784,270.0,bottom
R21,1K,R_0603_1608Metric,14.250001,13.673784,270.0,bottom
R22,1K,R_0603_1608Metric,8.250001,13.673784,270.0,bottom
R23,1K,R_0603_1608Metric,15.750001,13.673784,270.0,bottom
R24,1K,R_0603_1608Metric,12.750001,13.673784,270.0,bottom
R25,3K3,R_0603_1608Metric,48.75,13.683093,270.0,bottom
R26,3K3,R_0603_1608Metric,38.250001,13.683093,270.0,bottom
R27,10K,R_0603_1608Metric,42.750001,13.683093,270.0,bottom
R28,1K,R_0603_1608Metric,41.250001,13.683093,270.0,bottom
R29,1K,R_0603_1608Metric,45.750001,13.683093,270.0,bottom
R3,10K,R_0603_1608Metric,-51.75,13.5,270.0,bottom
R30,1K,R_0603_1608Metric,39.750001,13.683093,270.0,bottom
R31,1K,R_0603_1608Metric,47.250001,13.683093,270.0,bottom
R32,1K,R_0603_1608Metric,44.250001,13.683093,270.0,bottom
R33,10K,R_0603_1608Metric,21.25,67.0,270.0,bottom
R34,1k,R_0603_1608Metric,27.25,67.0,270.0,bottom
R4,1K,R_0603_1608Metric,-53.25,13.5,270.0,bottom
R5,1K,R_0603_1608Metric,-48.75,13.5,270.0,bottom
R6,1K,R_0603_1608Metric,-54.75,13.5,270.0,bottom
R7,1K,R_0603_1608Metric,-47.25,13.5,270.0,bottom
R8,1K,R_0603_1608Metric,-50.25,13.5,270.0,bottom
R9,3K3,R_0603_1608Metric,-14.25,13.571454,270.0,bottom
U2,VNH5019ATR-E,VNH5019ATR-E,-46.75,1.0,270.0,bottom
U4,VNH5019ATR-E,VNH5019ATR-E,-15.25,1.071454,270.0,bottom
U6,VNH5019ATR-E,VNH5019ATR-E,16.25,1.173784,270.0,bottom
U8,VNH5019ATR-E,VNH5019ATR-E,47.75,1.183093,270.0,bottom
