Comment,Designator,Footprint,LCSC,Quantity
.1uF,"C1,C34",C_0603_1608Metric,C1591,2
10k,"R2,R43",R_0603_1608Metric,C25804,2
3k24,"R1,R33",R_0603_1608Metric,C25995,2
CD74HC4067SM,"U1,U2",CD74HC4067SM,C98457,2
R,"R3,R4",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25804,2
113991054,U5,XiaoSeeedStudioEsp32,,1
~,U6,OPENMV_M7,,1
XT30PW-M,J8,AMASS_XT30PW-M,,1
4754,U4,MODULE_4754,,1
XT30PW-M,J9,AMASS_XT30PW-M,,1
TSSP58038,IR1,Vishay_MINICAST-3Pin,,1
Conn_01x05,J10,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,,1
Conn_01x05,J4,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,,1
TSSP58038,IR35,Vishay_MINICAST-3Pin,,1
TSSP58038,IR54,Vishay_MINICAST-3Pin,,1
SW_SPDT_312,SW2,SS12D00G3,,1
SW_SPDT_312,SW4,SS12D00G3,,1
TSSP58038,IR50,Vishay_MINICAST-3Pin,,1
TSSP58038,IR49,Vishay_MINICAST-3Pin,,1
TSSP58038,IR53,Vishay_MINICAST-3Pin,,1
TSSP58038,IR59,Vishay_MINICAST-3Pin,,1
TSSP58038,IR36,Vishay_MINICAST-3Pin,,1
TSSP58038,IR48,Vishay_MINICAST-3Pin,,1
SW_SPDT_312,SW1,SS12D00G3,,1
TSSP58038,IR34,Vishay_MINICAST-3Pin,,1
TSSP58038,IR51,Vishay_MINICAST-3Pin,,1
TSSP58038,IR56,Vishay_MINICAST-3Pin,,1
TSSP58038,IR60,Vishay_MINICAST-3Pin,,1
TSSP58038,IR40,Vishay_MINICAST-3Pin,,1
TSSP58038,IR52,Vishay_MINICAST-3Pin,,1
TSSP58038,IR46,Vishay_MINICAST-3Pin,,1
TSSP58038,IR37,Vishay_MINICAST-3Pin,,1
TSSP58038,IR47,Vishay_MINICAST-3Pin,,1
TSSP58038,IR45,Vishay_MINICAST-3Pin,,1
SW_SPDT_312,SW3,SS12D00G3,,1
TSSP58038,IR55,Vishay_MINICAST-3Pin,,1
TSSP58038,IR58,Vishay_MINICAST-3Pin,,1
TSSP58038,IR39,Vishay_MINICAST-3Pin,,1
TSSP58038,IR44,Vishay_MINICAST-3Pin,,1
TSSP58038,IR38,Vishay_MINICAST-3Pin,,1
TSSP58038,IR43,Vishay_MINICAST-3Pin,,1
TSSP58038,IR42,Vishay_MINICAST-3Pin,,1
TSSP58038,IR33,Vishay_MINICAST-3Pin,,1
TSSP58038,IR57,Vishay_MINICAST-3Pin,,1
TSSP58038,IR61,Vishay_MINICAST-3Pin,,1
TSSP58038,IR41,Vishay_MINICAST-3Pin,,1
