Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0603_1608Metric,127.505,-81.529999,180.0,top
C2,22u,C_0603_1608Metric,130.505,-81.529999,180.0,top
C3,22u,C_0603_1608Metric,141.78,-81.779999,180.0,top
C4,10u,C_0603_1608Metric,144.78,-81.779999,180.0,top
C5,220u,CP_EIA-7343-15_Kemet-W_HandSolder,129.78,-99.529999,180.0,top
C6,220u,CP_EIA-7343-15_Kemet-W_HandSolder,144.53,-99.529999,180.0,top
PS1,OKL-T_6-W12P-C,MURATA_OKL-T-6-W12,128.96,-89.779999,-90.0,top
PS2,OKL-T_6-W12P-C,MURATA_OKL-T-6-W12,143.6,-89.779999,-90.0,top
R1,1.33k,R_0603_1608Metric,124.28,-98.529999,-90.0,top
R2,2.18k,R_0603_1608Metric,139.03,-98.529999,-90.0,top
