Comment,Designator,Footprint,LCSC,Quantity
,"S1,S2",TACTILE_SWITCH_SMD_5.2MM,C10852,2
,J1,USB-C-16P-2LAYER-PADS,C39833030,1
0.1uF,"C1,C14,C15",0603,C14663,3
2.2k,"R11,R12",0603,C4190,2
2.2uF,"C16,C17",0603,C23630,2
22uF,"C3,C8",0603,C59461,2
4.7k,R9,0603,C25999,1
5.1k,"R7,R8",0603,C23186,2
CH340C,U4,SO016,C84681,1
ESD Diode,U5,SOT-23-6,C20615829,1
RIGHT_ANGLE,"J2,J3",JST04_1MM_RA,C145956,2
RT9080-18GJ5,U3,SOT23-5,C7972,1
RT9080-33GJ5,U2,SOT23-5,C7972,1
Red,D1,LED-0603,C2977076,1
XM125,U1,XM125_ACC,C5837899,1
