Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,0603,142.1511,-123.4186,180.0,top
C14,0.1uF,0603,144.6911,-87.8586,0.0,bottom
C15,0.1uF,0603,143.4211,-94.8436,90.0,bottom
C16,2.2uF,0603,148.5011,-102.9716,180.0,bottom
C17,2.2uF,0603,144.6911,-108.8136,270.0,bottom
C3,22uF,0603,147.1041,-111.8616,180.0,bottom
C8,22uF,0603,151.6761,-100.4316,90.0,bottom
D1,Red,LED-0603,138.3411,-98.0186,180.0,top
J1,,USB-C-16P-2LAYER-PADS,148.5011,-83.1861,180.0,top
J2,RIGHT_ANGLE,JST04_1MM_RA,138.8811,-92.3036,-90.0,top
J3,RIGHT_ANGLE,JST04_1MM_RA,158.1211,-92.3036,90.0,top
R11,2.2k,0603,157.3911,-85.9536,180.0,bottom
R12,2.2k,0603,157.3911,-87.8586,0.0,bottom
R7,5.1k,0603,154.8511,-84.6836,270.0,bottom
R8,5.1k,0603,145.9611,-89.3826,180.0,bottom
R9,4.7k,0603,138.3411,-99.9236,180.0,top
S1,,TACTILE_SWITCH_SMD_5.2MM,152.3111,-127.2286,0.0,top
S2,,TACTILE_SWITCH_SMD_5.2MM,144.6911,-127.2286,0.0,top
U1,XM125,XM125_ACC,148.5011,-112.6236,0.0,top
U2,RT9080-33GJ5,SOT23-5,148.5011,-100.4316,90.0,bottom
U3,RT9080-18GJ5,SOT23-5,147.2311,-108.8136,180.0,bottom
U4,CH340C,SO016,149.7711,-94.2086,180.0,bottom
U5,ESD Diode,SOT-23-6,151.0411,-89.0016,270.0,bottom
