radius_cm,height_cm
0.000000,17.000000
0.003749,17.000096
0.007494,17.000282
0.011234,17.000557
0.014967,17.000918
0.018690,17.001365
0.022403,17.001893
0.026103,17.002502
0.029790,17.003187
0.033462,17.003946
0.037119,17.004775
0.040761,17.005671
0.044386,17.006631
0.047994,17.007651
0.051586,17.008728
0.055162,17.009859
0.058721,17.011041
0.062263,17.012270
0.065790,17.013545
0.069301,17.014862
0.072797,17.016219
0.076278,17.017613
0.079745,17.019043
0.083198,17.020506
0.086637,17.022000
0.090064,17.023524
0.093478,17.025075
0.096880,17.026652
0.100271,17.028254
0.103650,17.029880
0.107019,17.031527
0.110378,17.033194
0.113727,17.034881
0.117067,17.036587
0.120398,17.038309
0.123720,17.040048
0.127034,17.041803
0.130341,17.043572
0.133639,17.045356
0.136931,17.047152
0.140216,17.048961
0.143495,17.050781
0.146767,17.052613
0.150033,17.054455
0.153293,17.056308
0.156549,17.058170
0.159798,17.060041
0.163043,17.061920
0.166284,17.063808
0.169519,17.065704
0.172751,17.067607
0.175978,17.069516
0.179201,17.071433
0.182421,17.073356
0.185636,17.075285
0.188849,17.077219
0.192058,17.079159
0.195264,17.081104
0.198467,17.083054
0.201668,17.085009
0.204865,17.086968
0.208060,17.088931
0.211253,17.090899
0.214443,17.092870
0.217631,17.094844
0.220817,17.096822
0.224001,17.098804
0.227183,17.100788
0.230363,17.102775
0.233541,17.104765
0.236718,17.106757
0.239894,17.108752
0.243067,17.110750
0.246240,17.112749
0.249411,17.114751
0.252581,17.116754
0.255750,17.118760
0.258917,17.120767
0.262084,17.122775
0.265250,17.124785
0.268415,17.126797
0.271579,17.128810
0.274742,17.130824
0.277904,17.132839
0.281066,17.134856
0.284227,17.136873
0.287388,17.138891
0.290548,17.140910
0.293707,17.142930
0.296867,17.144951
0.300025,17.146972
0.303184,17.148993
0.306342,17.151015
0.309500,17.153038
0.312657,17.155061
0.315815,17.157084
0.318972,17.159108
0.322129,17.161131
0.325286,17.163155
0.328443,17.165179
0.331600,17.167203
0.334756,17.169227
0.337913,17.171251
0.341070,17.173275
0.344227,17.175299
0.347384,17.177323
0.350541,17.179346
0.353699,17.181370
0.356856,17.183393
0.360014,17.185415
0.363172,17.187438
0.366330,17.189460
0.369488,17.191482
0.372647,17.193503
0.375806,17.195523
0.378965,17.197544
0.382125,17.199563
0.385285,17.201583
0.388445,17.203601
0.391606,17.205619
0.394767,17.207637
0.397929,17.209653
0.401090,17.211670
0.404253,17.213685
0.407416,17.215700
0.410579,17.217714
0.413743,17.219727
0.416907,17.221739
0.420072,17.223751
0.423237,17.225762
0.426403,17.227772
0.429569,17.229781
0.432736,17.231789
0.435904,17.233797
0.439072,17.235803
0.442240,17.237809
0.445409,17.239813
0.448579,17.241817
0.451750,17.243820
0.454921,17.245822
0.458092,17.247823
0.461265,17.249822
0.464437,17.251821
0.467611,17.253819
0.470785,17.255816
0.473960,17.257811
0.477136,17.259806
0.480312,17.261799
0.483489,17.263792
0.486666,17.265783
0.489844,17.267774
0.493023,17.269763
0.496203,17.271751
0.499383,17.273738
0.502565,17.275724
0.505746,17.277708
0.508929,17.279692
0.512112,17.281674
0.515296,17.283655
0.518481,17.285635
0.521666,17.287614
0.524852,17.289591
0.528039,17.291568
0.531227,17.293543
0.534415,17.295517
0.537604,17.297490
0.540794,17.299461
0.543985,17.301431
0.547177,17.303400
0.550369,17.305368
0.553562,17.307335
0.556756,17.309300
0.559950,17.311264
0.563145,17.313227
0.566341,17.315188
0.569538,17.317149
0.572736,17.319107
0.575934,17.321065
0.579134,17.323021
0.582334,17.324977
0.585535,17.326930
0.588736,17.328883
0.591939,17.330834
0.595142,17.332784
0.598346,17.334732
0.601551,17.336680
0.604756,17.338626
0.607963,17.340570
0.611170,17.342513
0.614378,17.344455
0.617587,17.346396
0.620796,17.348335
0.624007,17.350273
0.627218,17.352210
0.630430,17.354145
0.633643,17.356079
0.636856,17.358012
0.640071,17.359943
0.643286,17.361873
0.646502,17.363802
0.649719,17.365729
0.652937,17.367655
0.656155,17.369579
0.659375,17.371502
0.662595,17.373424
0.665816,17.375345
0.669037,17.377264
0.672260,17.379182
0.675483,17.381098
0.678707,17.383013
0.681932,17.384927
0.685158,17.386839
0.688385,17.388750
0.691612,17.390659
0.694840,17.392568
0.698069,17.394474
0.701299,17.396380
0.704530,17.398284
0.707761,17.400187
0.710993,17.402088
0.714226,17.403988
0.717460,17.405887
0.720695,17.407784
0.723930,17.409680
0.727167,17.411574
0.730404,17.413468
0.733641,17.415359
0.736880,17.417250
0.740119,17.419139
0.743360,17.421027
0.746601,17.422913
0.749843,17.424798
0.753085,17.426681
0.756329,17.428564
0.759573,17.430444
0.762818,17.432324
0.766064,17.434202
0.769310,17.436079
0.772558,17.437954
0.775806,17.439828
0.779055,17.441701
0.782305,17.443572
0.785555,17.445442
0.788806,17.447310
0.792059,17.449177
0.795311,17.451043
0.798565,17.452908
0.801820,17.454771
0.805075,17.456633
0.808331,17.458493
0.811588,17.460352
0.814845,17.462209
0.818103,17.464066
0.821363,17.465921
0.824622,17.467774
0.827883,17.469626
0.831145,17.471477
0.834407,17.473327
0.837670,17.475175
0.840933,17.477022
0.844198,17.478867
0.847463,17.480711
0.850729,17.482554
0.853996,17.484395
0.857263,17.486235
0.860532,17.488074
0.863801,17.489911
0.867071,17.491747
0.870341,17.493582
0.873612,17.495415
0.876884,17.497247
0.880157,17.499078
0.883431,17.500907
0.886705,17.502735
0.889980,17.504562
0.893256,17.506387
0.896532,17.508211
0.899810,17.510034
0.903088,17.511855
0.906367,17.513675
0.909646,17.515494
0.912926,17.517311
0.916207,17.519127
0.919489,17.520942
0.922771,17.522755
0.926054,17.524567
0.929338,17.526378
0.932623,17.528187
0.935908,17.529996
0.939194,17.531802
0.942481,17.533608
0.945768,17.535412
0.949057,17.537215
0.952346,17.539016
0.955635,17.540816
0.958926,17.542615
0.962217,17.544413
0.965508,17.546209
0.968801,17.548004
0.972094,17.549798
0.975388,17.551590
0.978683,17.553382
0.981978,17.555171
0.985274,17.556960
0.988571,17.558747
0.991868,17.560533
0.995166,17.562318
